method=POST, uri=/api/query, status=400,latency:115705
method=POST, uri=/api/query, status=400,latency:40966
method=POST, uri=/api/query, status=400,latency:29122
method=POST, uri=/api/query, status=400,latency:41278
method=POST, uri=/api/query, status=400,latency:20778
method=POST, uri=/api/query, status=400,latency:19172
method=POST, uri=/api/query, status=400,latency:30496
method=POST, uri=/api/query, status=400,latency:41362
method=POST, uri=/api/query, status=400,latency:15985
method=POST, uri=/api/query, status=400,latency:37952
method=POST, uri=/api/query, status=400,latency:44190
method=POST, uri=/api/query, status=400,latency:14943
method=POST, uri=/api/query, status=400,latency:21562
method=POST, uri=/api/query, status=400,latency:44585
method=POST, uri=/api/query, status=400,latency:39732
method=POST, uri=/api/query, status=400,latency:31628
method=POST, uri=/api/query, status=400,latency:42271
method=POST, uri=/api/query, status=400,latency:32433
method=POST, uri=/api/query, status=400,latency:38996
method=POST, uri=/api/query, status=400,latency:41525
method=POST, uri=/api/query, status=400,latency:40915
method=POST, uri=/api/query, status=400,latency:40157
method=POST, uri=/api/query, status=400,latency:41127
method=POST, uri=/api/query, status=400,latency:57011
method=POST, uri=/api/query, status=400,latency:42517
method=POST, uri=/api/query, status=400,latency:13921
method=POST, uri=/api/query, status=400,latency:13844
method=POST, uri=/api/query, status=400,latency:29071
method=POST, uri=/api/query, status=400,latency:40156
method=POST, uri=/api/query, status=400,latency:41791
method=POST, uri=/api/query, status=400,latency:41003
method=POST, uri=/api/query, status=400,latency:43593
method=POST, uri=/api/query, status=400,latency:42709
method=POST, uri=/api/query, status=400,latency:41966
method=POST, uri=/api/query, status=400,latency:38765
method=POST, uri=/api/query, status=400,latency:46637
method=POST, uri=/api/query, status=400,latency:22374
method=POST, uri=/api/query, status=400,latency:42673
method=POST, uri=/api/query, status=400,latency:33322
method=POST, uri=/api/query, status=400,latency:18261
method=POST, uri=/api/query, status=400,latency:41218
method=POST, uri=/api/query, status=400,latency:40440
method=POST, uri=/api/query, status=400,latency:18164
method=POST, uri=/api/query, status=400,latency:44168
method=POST, uri=/api/query, status=400,latency:43154
method=POST, uri=/api/query, status=400,latency:38583
method=POST, uri=/api/query, status=400,latency:20858
method=POST, uri=/api/query, status=400,latency:14807
method=POST, uri=/api/query, status=400,latency:26398
method=POST, uri=/api/query, status=400,latency:16201
method=POST, uri=/api/query, status=400,latency:32016
method=POST, uri=/api/query, status=400,latency:40546
method=POST, uri=/api/query, status=400,latency:40307
method=POST, uri=/api/query, status=400,latency:23887
method=POST, uri=/api/query, status=400,latency:14227
method=POST, uri=/api/query, status=400,latency:41798
method=POST, uri=/api/query, status=400,latency:22177
method=POST, uri=/api/query, status=400,latency:25706
method=POST, uri=/api/query, status=400,latency:31817
method=POST, uri=/api/query, status=200,latency:2369311
method=POST, uri=/api/query, status=200,latency:192991494
method=POST, uri=/api/query, status=200,latency:3133445
method=POST, uri=/api/query, status=200,latency:1866334
method=POST, uri=/api/query, status=200,latency:3850952
method=POST, uri=/api/query, status=200,latency:3856549
method=POST, uri=/api/query, status=200,latency:5606889
method=POST, uri=/api/query, status=200,latency:4075856
method=POST, uri=/api/query, status=200,latency:2949159
method=POST, uri=/api/query, status=200,latency:5933193
method=POST, uri=/api/query, status=200,latency:3175368
method=POST, uri=/api/query, status=200,latency:3092645
method=POST, uri=/api/query, status=200,latency:3603938
method=POST, uri=/api/query, status=200,latency:3377444
method=POST, uri=/api/query, status=200,latency:3726611
method=POST, uri=/api/query, status=200,latency:2314622
method=POST, uri=/api/query, status=200,latency:4866644
method=POST, uri=/api/query, status=200,latency:2434163
method=POST, uri=/api/query, status=200,latency:732933
method=POST, uri=/api/query, status=200,latency:5784164
method=POST, uri=/api/query, status=200,latency:2925293
